Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,20,kodim10.png,0.40093994140625,30.897435585466717,0.9446760416030884,0.4014459550380707,59.85933932105343,1152.0,19.2451171875
Kodak,JPEG,30,kodim10.png,0.5116984049479166,32.32429167718667,0.9631258845329285,0.3223622739315033,46.902628126118245,1152.0,24.5615234375
Kodak,JPEG,40,kodim10.png,0.6049601236979166,33.307418508167494,0.9714857935905457,0.27379775047302246,39.67203632083403,1152.0,29.0380859375
Kodak,JPEG,50,kodim10.png,0.6973673502604166,34.098496154658804,0.9772023558616638,0.23944991827011108,34.41514718324241,1152.0,33.4736328125
Kodak,JPEG,60,kodim10.png,0.79736328125,34.82110395651318,0.9804811477661133,0.21483857929706573,30.099203919167177,1152.0,38.2734375
Kodak,JPEG,70,kodim10.png,0.9591878255208334,35.7514095401638,0.9844030141830444,0.18549975752830505,25.021168285750647,1152.0,46.041015625
Kodak,JPEG,80,kodim10.png,1.23681640625,37.09007453065196,0.9885784387588501,0.14458560943603516,19.404658507698382,1152.0,59.3671875
Kodak,JPEG,90,kodim10.png,1.9000651041666667,39.33438842622774,0.9929103851318359,0.08877938985824585,12.631146136714065,1152.0,91.203125
Kodak,JPEG,10,kodim11.png,0.31597900390625,26.302215561462106,0.8827888369560242,0.49993300437927246,75.95441375313888,1152.0,15.1669921875
Kodak,JPEG,20,kodim11.png,0.507080078125,28.697688099967166,0.9427148103713989,0.3618965446949005,47.32980259990371,1152.0,24.33984375
Kodak,JPEG,30,kodim11.png,0.6705729166666666,29.940616615353743,0.9601510763168335,0.2879631519317627,35.79029126213592,1152.0,32.1875
Kodak,JPEG,40,kodim11.png,0.806640625,30.87101596338251,0.969277024269104,0.2500389814376831,29.753026634382568,1152.0,38.71875
Kodak,JPEG,50,kodim11.png,0.9316202799479166,31.649613990490515,0.9752959609031677,0.21988561749458313,25.761568867244655,1152.0,44.7177734375
Kodak,JPEG,60,kodim11.png,1.0697835286458333,32.39419753899435,0.9793199896812439,0.19646766781806946,22.434445247423074,1152.0,51.349609375
Kodak,JPEG,70,kodim11.png,1.27569580078125,33.47304087691343,0.9841706156730652,0.1652931571006775,18.813262523324244,1152.0,61.2333984375
